Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,38005238,9984670,América
Australia,25788217,7692024,Oceanía
Egipto,109262178,1002450,África
China,1412600000,9596961,Asia
Sudáfrica,60414495,1221037,África
Francia,67848156,551695,Europa
México,128932753,1964375,América
India,1428627663,3287263,Asia
Italia,58853482,301340,Europa
Nueva Zelanda,5265100,268021,Oceanía
Nigeria,223804632,923768,África
Rusia,144444359,17098242,Europa
